complaint,department
A manhole cover is completely missing on the main road near the railway station. Highly dangerous! It is worse causing minor accidents.,Sewage & Drainage
Frequent signal failures at the major intersection are leading to multiple near-miss accidents every day. It is worse causing minor accidents.,Traffic Signals
Potholes on the flyover are causing massive traffic jams during peak morning rush hours. It is worse with the upcoming festival season.,Roads & Potholes
Writing this out of absolute desperation. The countdown timer display is completely broken and blacked out at the sector 4 crossing.,Traffic Signals
suwage water leaking and mixing with the open field where children play in our village. It has been happening for a long time.,Sewage & Drainage
stret lights not working since last monday near the local market zone. This is happening outside the nursing home.,Street Lighting
"Buses are running extremely late, I had to wait for more than an hour to go to the hospital. This is happening behind the government office.",Public Transport
It is impossible to walk outside Green Valley Apartments after sunset because teh lights are completely dead. Looking forward to a speedy resolution.,Street Lighting
"I want to report that No working lights inside the ladies' park, making it completely unusable and unsafe after dark.",Parks & Gardens
"the main underground sewer line has collapsed near the petrol pump, causing a bad road cave-in. it is worse with the upcoming festival season.",Sewage & Drainage
Reminder for the authority: Huge potholes have formed near the main vegetable market after the heavy rains yesterday.,Roads & Potholes
"The water timing was changed without telling us. Now it comes at 2 AM in the night time, this is ridiculous. Please take immediate action.",Water Supply
Frequent load shedding every single day during children's exam preparation time. This is unfair. This is happening near the public library.,Electricity
stret lights not working since last monday near the local market zone.,Street Lighting
Metro feeder buses are charging excess fares from passengers illegally during the festival season. It is worse with the upcoming festival season.,Public Transport
Please take strict action. The entire stretch from the railway station to the market is full of deep patches and potholes. Please take immediate action.,Roads & Potholes
"The timer on the traffic light near St. Mary's School is mismatched, giving only 5 seconds to cross. No one is listening to our requests.",Traffic Signals
