complaint,department,severity
"Sainik Colony ke residents bahut pareshan hain kyunki a signal timer display that is not clearly visible hai, please fix karo.",Traffic Signals,Low
There is a fire hazard from illegal gas cylinder storage in a shop in the the temple area. This requires attention from the concerned department.,Other,Critical
We request the department to send a team to inspect stray cattle entering and damaging the garden reported at Nehru Colony.,Parks & Gardens,Medium
"Sir this Model Town area having stagnant water in a small unused drain problem, please to do fast action.",Sewage & Drainage,Low
"Minor leakage from an underground pipe wetting the road the panchayat office ke pass hai bhaiya, sarkar jaldi action le please.",Water Supply,Medium
"Yeh complaint a faded bus stop sign that is hard to read ke baare mein hai jo the metro station ke paas dekha gaya, kripya jaldi solve karein.",Public Transport,Low
We would appreciate a prompt response regarding an exposed live wire near a school bus stop reported near the temple.,Street Lighting,Critical
"Yeh masla a major water main burst causing severe flooding of homes ka hai Sunrise Public School ke aas paas, kripya turant karyawahi karein.",Water Supply,Critical
"Divine Enclave ke pass slightly discoloured water in the tap for one day hai, jaldi thik karwao please.",Water Supply,Low
"Bhai the mosque me a delay of a few days in replacing a fused bulb ho gaya hai, koi action nahi liya gaya ab tak.",Street Lighting,Low
"A tripped line leaving the colony without power for hours Gandhi Chowk ke pass hai bhaiya, sarkar jaldi action le please.",Electricity,Medium
"Indira Nagar me a slow drip from a public tap that is being wasted ki wajah se bahut takleef ho rahi hai, please turant sudhaar karo.",Water Supply,Low
We request the department to send a team to inspect stray cattle entering and damaging the garden reported at Rajpuri village.,Parks & Gardens,Medium
"Bhai Subhash Nagar me irregular water supply timings without prior notice ho gaya hai, koi action nahi liya gaya ab tak.",Water Supply,Medium
"Yeh complaint a short circuit in the signal box that sparked and caused panic ke baare mein hai jo Sainik Colony ke paas dekha gaya, kripya jaldi solve karein.",Traffic Signals,Critical
"Sir ji, Church Street ke paas a road that has completely collapsed after the bridge work dekha, bahut jaldi theek karwa dijiye please.",Roads & Potholes,Critical
We would appreciate a prompt response regarding a signal pole with peeling paint reported near Rampur village.,Traffic Signals,Low
We would appreciate a prompt response regarding a traffic signal that stays on the same colour too long reported near the metro station.,Traffic Signals,Medium
"I am writing to formally complain about a streetlight bulb that is slightly dim at the highway bypass, which has caused ongoing inconvenience.",Street Lighting,Low
"We residents of the primary health centre very much suffering due a missing dustbin at the bus stop, please solve soon.",Public Transport,Low
"Humein Model Town area mein a short circuit in the signal box that sparked and caused panic mil raha hai, department se request hai jaldi action le.",Traffic Signals,Critical
There is a major water main burst causing severe flooding of homes in the Subhash Nagar area. This requires attention from the concerned department.,Water Supply,Critical
Kindly look into a signal that is switched off during non-peak hours at Sector 14 as it has been affecting the daily lives of residents.,Traffic Signals,Medium
"Sir, Sadar Bazaar ke paas no regular watering of plants in the public garden hai, please jaldi dekh lijiye.",Parks & Gardens,Medium
"Sir ji, Shanti Nagar ke paas no functioning streetlights on a busy highway stretch dekha, bahut jaldi theek karwa dijiye please.",Street Lighting,High
"This complaint is regarding a stray dog barking issue reported by a resident in the vicinity of Divine Enclave, which needs to be addressed soon.",Other,Low
"Kaafi din se the fire station me no regular watering of plants in the public garden hai lekin abhi tak kisi ne dhyan nahi diya, please help.",Parks & Gardens,Medium
"It has come to our attention that a signal pole with peeling paint exists near the mosque, and we seek immediate redressal.",Traffic Signals,Low
Kindly look into a slightly overflowing dustbin that needs emptying at the water tank area as it has been affecting the daily lives of residents.,Garbage Collection,Low
Residents of Tilak Marg have been facing a signal that is switched off during non-peak hours for several days now and request an urgent resolution.,Traffic Signals,Medium
"Since many days a fallen electric pole with sparking wires on the road is there near the bus depot, no body coming for repair.",Street Lighting,Critical
"Sir, the fire station ke paas a pedestrian signal button that responds slowly hai, please jaldi dekh lijiye.",Traffic Signals,Low
"A delay of a few days in replacing a fused bulb the bus depot ke pass hai bhaiya, sarkar jaldi action le please.",Street Lighting,Low
"On behalf of the residents' welfare association, I am reporting a broken signal pole bent after being hit by a vehicle near the industrial area.",Traffic Signals,High
"Bhai Vivekanand Colony me rats and cockroaches coming from an open drain ho gaya hai, koi action nahi liya gaya ab tak.",Sewage & Drainage,Medium
We request the department to send a team to inspect a minor blockage in a small roadside drain reported at the slum area behind the stadium.,Sewage & Drainage,Low
"Model Town ke residents bahut pareshan hain kyunki no traffic signal at all at an extremely busy junction causing frequent accidents hai, please fix karo.",Traffic Signals,Critical
"Kripya the flyover ka no electricity for over twelve hours in the whole village jaldi se jaldi thik karwaye, bahut zaroori hai.",Electricity,High
"Yeh masla a minor delay in the weekly water tanker visit ka hai the housing board colony ke aas paas, kripya turant karyawahi karein.",Water Supply,Low
"Yeh an illegal dumping site growing right behind a school Subhash Nagar ke aas paas hai, department turant dhyan de.",Garbage Collection,High
Please note that minor voltage flicker during evening hours has been observed near the panchayat office and needs timely repair.,Electricity,Low
"This complaint is regarding irregular street lighting timing due to a faulty sensor in the vicinity of the bus depot, which needs to be addressed soon.",Street Lighting,Medium
No functioning streetlights on a busy highway stretch near the highway bypass pls fix asap!!,Street Lighting,High
"Sir ji, the slum area behind the stadium ke paas a collapsed water tank threatening nearby houses dekha, bahut jaldi theek karwa dijiye please.",Water Supply,Critical
"This the collector office road place large scale encroachment narrowing an entire road is happening, kindly do needful urgently.",Other,High
